2025-12-17 12:14:08.320 [main] INFO  controlador.GestionaUsuarios - Usuario [id=usr001, username=User001, email=user001@fitdroid.com, plan_activo=MENSUAL, dispositivo=android14, preferencias=null]
2025-12-17 12:14:08.325 [main] INFO  controlador.GestionaUsuarios - Usuario [id=usr002, username=User002, email=user002@fitdroid.com, plan_activo=MENSUAL, dispositivo=android11, preferencias=null]
2025-12-17 12:14:08.325 [main] INFO  controlador.GestionaUsuarios - Usuario [id=usr003, username=User003, email=user003@fitdroid.com, plan_activo=TRIMESTRAL, dispositivo=android12, preferencias=null]
2025-12-17 12:14:08.325 [main] INFO  controlador.GestionaUsuarios - Usuario [id=usr004, username=User004, email=user004@fitdroid.com, plan_activo=ANUAL, dispositivo=iphone16, preferencias=null]
2025-12-17 12:14:08.325 [main] INFO  controlador.GestionaUsuarios - Usuario [id=usr005, username=User005, email=user005@fitdroid.com, plan_activo=MENSUAL, dispositivo=android14, preferencias=null]
2025-12-17 12:14:08.325 [main] INFO  controlador.GestionaUsuarios - Usuario [id=usr006, username=User006, email=user006@fitdroid.com, plan_activo=FREE, dispositivo=android13, preferencias=null]
2025-12-17 12:14:08.325 [main] INFO  controlador.GestionaUsuarios - Usuario [id=usr007, username=User007, email=user007@fitdroid.com, plan_activo=MENSUAL, dispositivo=android11, preferencias=null]
2025-12-17 12:14:08.325 [main] INFO  controlador.GestionaUsuarios - Usuario [id=usr008, username=User008, email=user008@fitdroid.com, plan_activo=TRIMESTRAL, dispositivo=android11, preferencias=null]
2025-12-17 12:14:08.325 [main] INFO  controlador.GestionaUsuarios - Usuario [id=usr009, username=User009, email=user009@fitdroid.com, plan_activo=ANUAL, dispositivo=android12, preferencias=null]
2025-12-17 12:14:08.325 [main] INFO  controlador.GestionaUsuarios - Usuario [id=usr010, username=User010, email=user010@fitdroid.com, plan_activo=VIP, dispositivo=android13, preferencias=null]
2025-12-17 12:14:08.325 [main] INFO  controlador.GestionaUsuarios - Usuario [id=usr011, username=User011, email=user011@fitdroid.com, plan_activo=FREE, dispositivo=android13, preferencias=null]
2025-12-17 12:14:08.326 [main] INFO  controlador.GestionaUsuarios - Usuario [id=usr012, username=User012, email=user012@fitdroid.com, plan_activo=MENSUAL, dispositivo=iphone17, preferencias=null]
